"idx","tic","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange","MarketCap1","X1","X2","X3","X4","X5","X6","score","tic.y"
201,"bll","Ball Corporation",78.69,"$13.71B",2000,"Consumer Durables","Containers/Packaging","NYSE",13710,-0.01,0,0,0.75,0.57,0.64,-3.23092345114563,"bll"
1576,"ver","VEREIT Inc.",10.28,"$9.31B",2000,"Consumer Services","Real Estate Investment Trusts","NYSE",9310,-0.02,0.01,0,0.62,0.57,0.67,-3.23889641036768,"ver"
1015,"mtn","Vail Resorts, Inc.",158.11,"$5.72B",1997,"Consumer Services","Services-Misc. Amusement & Recreation","NYSE",5720,-0.01,0,0,0.67,0.61,0.64,-3.24487755281289,"mtn"
764,"idxx","IDEXX Laboratories, Inc.",110.15,"$9.86B",1991,"Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","NASDAQ",9860,0,-0.01,0,0.7,0.66,0.61,-3.25434722067492,"idxx"
306,"cig","Comp En De Mn Cemig ADS",2.66,"$3.35B",2000,"Public Utilities","Electric Utilities: Central","NYSE",3350,-0.01,-0.02,-0.01,0.92,0.91,0.97,-3.25457714548612,"cig"
1685,"ypf","YPF Sociedad Anonima",17.04,"$6.7B",1993,"Energy","Integrated oil Companies","NYSE",6700,-0.02,-0.01,-0.01,0.85,0.79,1.06,-3.260050086573,"ypf"
1147,"pbf","PBF Energy Inc.",22.01,"$2.15B",2012,"Energy","Integrated oil Companies","NYSE",2150,-0.01,-0.02,0,0.96,0.78,0.76,-3.26239853132154,"pbf"
841,"kgc","Kinross Gold Corporation",4.3,"$5.35B",2000,"Basic Industries","Precious Metals","NYSE",5350,-0.01,-0.04,-0.01,1.23,1.13,1.05,-3.26329922650109,"kgc"
786,"int","World Fuel Services Corporation",44.71,"$3.15B",2000,"Energy","Oil Refining/Marketing","NYSE",3150,-0.01,-0.01,0,0.62,0.68,0.78,-3.27467853245936,"int"
1590,"vntv","Vantiv, Inc.",53.3,"$10.21B",2012,"Miscellaneous","Business Services","NYSE",10210,0,0,0,0.45,0.46,0.66,-3.28636947192874,"vntv"
284,"cern","Cerner Corporation",64.64,"$21.83B",1986,"Technology","EDP Services","NASDAQ",21830,0,0,-0.01,0.57,0.65,0.76,-3.31468094813252,"cern"
705,"hii","Huntington Ingalls Industries, Inc.",165.86,"$7.76B",2000,"Capital Goods","Marine Transportation","NYSE",7760,-0.01,0,0,0.62,0.54,0.69,-3.32315250231907,"hii"
1675,"xpo","XPO Logistics, Inc.",36.11,"$3.98B",2000,"Consumer Services","Transportation Services","NYSE",3980,0,-0.01,0,0.6,0.63,0.65,-3.34001589070392,"xpo"
76,"alrm","Alarm.com Holdings, Inc.",28.31,"$1.29B",2015,"Technology","Computer Software: Prepackaged Software","NASDAQ",1290,0,0,-0.03,0.36,0.73,1.34,-3.35868399769541,"alrm"
859,"kss","Kohl&#39;s Corporation",44.54,"$8.18B",1992,"Consumer Services","Department/Specialty Retail Stores","NYSE",8180,0,-0.01,0,0.6,0.55,0.7,-3.36238277351701,"kss"
409,"cy","Cypress Semiconductor Corporation",11.16,"$3.58B",1986,"Technology","Semiconductors","NASDAQ",3580,0,-0.01,0,0.49,0.64,0.68,-3.36318555955405,"cy"
870,"lbtyk","Liberty Global plc",30.01,"$27.61B",2000,"Consumer Services","Television Services","NASDAQ",27610,-0.01,-0.01,0,0.76,0.69,0.7,-3.36546945212408,"lbtyk"
302,"chtr","Charter Communications, Inc.",250.93,"$67.98B",2000,"Consumer Services","Television Services","NASDAQ",67980,0,0,-0.01,0.64,0.58,0.77,-3.36671437306095,"chtr"
917,"lvnta","Liberty Interactive Corporation",38.59,"$23.86B",2000,"Consumer Services","Catalog/Specialty Distribution","NASDAQ",23860,0,0,-0.01,0.62,0.69,0.7,-3.37663866506029,"lvnta"
685,"har","Harman International Industries, Incorporated",85.4,"$5.96B",2000,"Consumer Non-Durables","Consumer Electronics/Appliances","NYSE",5960,0,0,0,0.49,0.51,0.59,-3.38020169397973,"har"
1661,"wuba","58.com Inc.",46.3,"$6.67B",2013,"Technology","Computer Software: Programming, Data Processing","NYSE",6670,-0.01,-0.01,-0.02,0.42,0.71,1.38,-3.38088442029125,"wuba"
367,"cray","Cray Inc",23.24,"$946.5M",2000,"Technology","Computer Manufacturing","NASDAQ",946.5,0,0.01,0,0.5,0.45,0.45,-3.38883560060094,"cray"
710,"hls","HealthSouth Corporation",40.25,"$3.61B",2000,"Health Care","Hospital/Nursing Management","NYSE",3610,-0.01,0,-0.01,0.43,0.83,0.83,-3.39511757684334,"hls"
490,"eeft","Euronet Worldwide, Inc.",77.5,"$4.04B",1997,"Finance","Investment Bankers/Brokers/Service","NASDAQ",4040,0,0,0,0.46,0.56,0.56,-3.41290953848135,"eeft"
22,"acm","AECOM",31.89,"$4.9B",2007,"Consumer Services","Military/Government/Technical","NYSE",4900,-0.01,-0.01,-0.01,0.47,0.56,1.17,-3.42004313478139,"acm"
188,"biib","Biogen Inc.",308.17,"$67.53B",2000,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ",67530,0,-0.01,0,0.54,0.71,0.6,-3.42248809044339,"biib"
948,"mdrx","Allscripts Healthcare Solutions, Inc.",12.73,"$2.37B",2000,"Technology","EDP Services","NASDAQ",2370,-0.01,0,-0.01,0.49,0.86,0.78,-3.42520078864788,"mdrx"
